transaction_id,account_id,direction,amount,currency,counterparty_name,counterparty_account,counterparty_country,channel,txn_timestamp
DEMO_TXN_BASE_01,DEMO_ACC_BEHAVIOR,DEBIT,1000,INR,Utility Services,EXT_DEMO_001,IN,UPI,2026-08-01 10:00:00
DEMO_TXN_BASE_02,DEMO_ACC_BEHAVIOR,DEBIT,1000,INR,Utility Services,EXT_DEMO_001,IN,UPI,2026-08-08 10:00:00
DEMO_TXN_BASE_03,DEMO_ACC_BEHAVIOR,DEBIT,1000,INR,Utility Services,EXT_DEMO_001,IN,UPI,2026-08-15 10:00:00
DEMO_TXN_BEHAVIOR,DEMO_ACC_BEHAVIOR,DEBIT,5000,INR,Luxury Retail,EXT_DEMO_002,IN,CARD,2026-09-01 14:00:00
DEMO_TXN_STRUCT_01,DEMO_ACC_STRUCT,DEBIT,9500,INR,Deposit Counterparty A,EXT_DEMO_101,IN,CASH,2026-09-02 09:00:00
DEMO_TXN_STRUCT_02,DEMO_ACC_STRUCT,DEBIT,9600,INR,Deposit Counterparty B,EXT_DEMO_102,IN,CASH,2026-09-02 12:00:00
DEMO_TXN_STRUCT_03,DEMO_ACC_STRUCT,DEBIT,9700,INR,Deposit Counterparty C,EXT_DEMO_103,IN,CASH,2026-09-02 16:00:00
DEMO_TXN_RAPID_IN,DEMO_ACC_RAPID,CREDIT,8000,INR,Incoming Transfer,EXT_DEMO_201,IN,NEFT,2026-09-03 10:00:00
DEMO_TXN_RAPID_OUT,DEMO_ACC_RAPID,DEBIT,6500,INR,Outbound Beneficiary,EXT_DEMO_202,IN,IMPS,2026-09-04 09:00:00
DEMO_TXN_HIGH_RISK,DEMO_ACC_RISK,DEBIT,1000,INR,Tehran Export Company,EXT_DEMO_301,IR,WIRE,2026-09-05 11:00:00
DEMO_TXN_CTR,DEMO_ACC_CTR,CREDIT,15000,INR,Large Cash Deposit,EXT_DEMO_401,IN,CASH,2026-09-06 15:00:00
