transaction_id,account_id,direction,amount,currency,counterparty_name,counterparty_account,counterparty_country,channel,txn_timestamp
TXN_000076,ACC_000004,DEBIT,2674.06,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-14 09:00:00
TXN_000101,ACC_000005,CREDIT,3358.05,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-14 09:00:00
TXN_000077,ACC_000004,CREDIT,2381.72,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-15 09:00:00
TXN_000001,ACC_000001,CREDIT,587.54,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-16 09:00:00
TXN_000026,ACC_000002,DEBIT,1766.99,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-16 09:00:00
TXN_000051,ACC_000003,DEBIT,1249.83,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-16 09:00:00
TXN_000102,ACC_000005,DEBIT,3371.88,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-16 09:00:00
TXN_000002,ACC_000001,CREDIT,988.38,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-17 09:00:00
TXN_000078,ACC_000004,CREDIT,3766.41,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-17 09:00:00
TXN_000103,ACC_000005,CREDIT,2810.12,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-17 09:00:00
TXN_000079,ACC_000004,DEBIT,1497.46,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-18 09:00:00
TXN_000027,ACC_000002,DEBIT,818.18,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-19 09:00:00
TXN_000052,ACC_000003,DEBIT,1350.49,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-19 09:00:00
TXN_000104,ACC_000005,DEBIT,3525.24,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-19 09:00:00
TXN_000003,ACC_000001,CREDIT,2566.72,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-20 09:00:00
TXN_000028,ACC_000002,CREDIT,2696.06,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-20 09:00:00
TXN_000004,ACC_000001,CREDIT,1265.23,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-21 09:00:00
TXN_000053,ACC_000003,CREDIT,830.14,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-21 09:00:00
TXN_000080,ACC_000004,DEBIT,2640.87,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-21 09:00:00
TXN_000105,ACC_000005,DEBIT,2878.31,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-21 09:00:00
TXN_000029,ACC_000002,CREDIT,1846.69,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-22 09:00:00
TXN_000054,ACC_000003,DEBIT,1982.53,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-23 09:00:00
TXN_000106,ACC_000005,CREDIT,903.70,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-23 09:00:00
TXN_000005,ACC_000001,CREDIT,2464.36,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-24 09:00:00
TXN_000030,ACC_000002,DEBIT,3898.77,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-24 09:00:00
TXN_000081,ACC_000004,CREDIT,2837.52,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-24 09:00:00
TXN_000107,ACC_000005,DEBIT,633.90,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-24 09:00:00
TXN_000055,ACC_000003,CREDIT,2856.78,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-26 09:00:00
TXN_000082,ACC_000004,CREDIT,3786.26,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-26 09:00:00
TXN_000108,ACC_000005,DEBIT,3049.91,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-26 09:00:00
TXN_000006,ACC_000001,DEBIT,1271.54,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-27 09:00:00
TXN_000031,ACC_000002,CREDIT,2885.99,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-27 09:00:00
TXN_000056,ACC_000003,CREDIT,1909.17,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-27 09:00:00
TXN_000057,ACC_000003,CREDIT,1170.57,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-28 09:00:00
TXN_000083,ACC_000004,CREDIT,3613.99,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-28 09:00:00
TXN_000109,ACC_000005,CREDIT,1848.18,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-28 09:00:00
TXN_000007,ACC_000001,CREDIT,3155.83,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-29 09:00:00
TXN_000032,ACC_000002,DEBIT,890.43,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-29 09:00:00
TXN_000110,ACC_000005,DEBIT,655.35,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-29 09:00:00
TXN_000033,ACC_000002,DEBIT,511.36,INR,Acme Traders,EXT_1000,IN,IMPS,2026-06-30 09:00:00
TXN_000058,ACC_000003,CREDIT,1976.59,INR,Acme Traders,EXT_1000,IN,NEFT,2026-06-30 09:00:00
TXN_000111,ACC_000005,CREDIT,1774.78,INR,Acme Traders,EXT_1000,IN,UPI,2026-06-30 09:00:00
TXN_000084,ACC_000004,CREDIT,1453.22,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-01 09:00:00
TXN_000008,ACC_000001,DEBIT,1690.88,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-02 09:00:00
TXN_000059,ACC_000003,CREDIT,3560.70,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-02 09:00:00
